epoch,auroc_0.00,auroc_0.25,auroc_0.50,auroc_0.75,auroc_1.00,aupr_0.00,aupr_0.25,aupr_0.50,aupr_0.75,aupr_1.00,avg_auroc,avg_aupr
1,0.5006787173448267,0.49817749935653866,0.5245895821460931,0.5492725231792809,0.7283942092822222,0.2064678368139424,0.3025830469271988,0.34422572429959963,0.1289705507190352,0.11888817052795278,0.5602225062617924,0.22022706585754576
2,0.5091849266072008,0.4220298478813762,0.5403101379043621,0.5771022588640664,0.7429526060740842,0.20935484617066205,0.26349095605180706,0.3511391675285578,0.14232114561185527,0.11086392433477041,0.5583159554662179,0.2154340079395305
3,0.5046511126947911,0.4575905317390033,0.5426584820543937,0.5103789767790619,0.3373784782626891,0.20345755745249453,0.2776000809908983,0.3613409013413454,0.11791291451787123,0.023135021138826865,0.47053151630598783,0.19668929508828725
4,0.5131989459153321,0.44134838960166467,0.524600045234708,0.6197017192539783,0.7581255612029562,0.20674405815242278,0.26949968877264463,0.34545095334903586,0.16907656982182734,0.1819898577871395,0.5713949322417279,0.234552225576614
5,0.39860790859692924,0.7023065144462525,0.3821479550768785,0.293884233030624,0.06939188615605717,0.16423445325808197,0.47182579592896334,0.26256450466508857,0.07479011524198267,0.016919124471091552,0.3692676994613483,0.19806679871304161
6,0.5046855562396894,0.45491019897133433,0.5144757044519972,0.4982048331329817,0.6113085907842554,0.218234196700189,0.28352130870385284,0.336891187962671,0.11940291189893305,0.06193537256624628,0.5167169767160515,0.20399699556637846
7,0.51194456137548,0.4374723093500386,0.4668568215579598,0.45782901412180577,0.3733062282020104,0.22917986816311206,0.27467462072162024,0.30388677992964097,0.1040322183712748,0.025407182017603707,0.44948178692145896,0.18743613384065033
8,0.5213445077018908,0.42438068481736607,0.46807681769046067,0.46408317984622527,0.4482207699196411,0.22861692262975886,0.266334492233931,0.30449005758023395,0.10772141007305325,0.02977372269390441,0.4652211919951168,0.1873873210421763
9,0.5259279113434374,0.4031158797534344,0.45909355145755515,0.4217706709196729,0.2713559022110948,0.2235832385722794,0.25721219096706294,0.297667604628136,0.09510188331259284,0.020163005864542626,0.41625278313703895,0.17874558466892276
10,0.5142248474610956,0.4164675062928338,0.45222182192011084,0.49694804895321293,0.3600304529199293,0.26534750146106806,0.2613832792378594,0.3055067062616131,0.11835499637113196,0.02470100985487305,0.4479785355094365,0.1950586986373091
11,0.5358590960577736,0.3848694536904144,0.44460631625483954,0.4033582619705066,0.15306268853729138,0.2323551259547664,0.24571872635542574,0.2969043804877891,0.09531350488331973,0.017740730532688515,0.3843511633021651,0.1776064936427979
12,0.500728419267921,0.5057264569491643,0.4933261723100723,0.517385018567229,0.46645754944265294,0.20487703448801275,0.3091244562659595,0.3208234625216195,0.128975036292393,0.03210876955061609,0.49672472330740786,0.19918175182372017
13,0.49601520721775144,0.5108885437706399,0.49614087126694073,0.5224337277877623,0.611682227905492,0.10805539460392102,0.3142553702659046,0.320225710081811,0.13331396267073814,0.05500399095967747,0.5274321155897173,0.18617088571641044
14,0.5078787645560441,0.5025363719250184,0.5000711062960974,0.5156201647841558,0.5953982254329109,0.4742470354790271,0.3155245879195635,0.3360596899750134,0.12306509283374358,0.04884138888336691,0.5243009265988453,0.2595475590181429
